Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,add up to,давать в сумме,,T,0
2022-08-08,back out of,отказаться от участия,,T,0
2022-08-08,break in on,прервать,,T,0
2022-08-08,break into,проникнуть в,,T,0
2022-08-08,bump into,случайно встретить,,T,0
2022-08-08,call for,официально призвать к,,T,0
2022-08-08,call on,зайти в гости к,,T,0
2022-08-08,care for,заботиться о,,T,0
2022-08-08,carry on with,продолжать,,T,0
2022-08-08,catch up with,догнать,,T,0
2022-08-08,check in,регистрироваться в,,T,0
2022-08-08,check out of,выселяться из,,T,0
2022-08-08,check up on,проверить,,T,0
2022-08-08,come across,наткнуться на,,T,0
2022-08-08,come along with,пойти с кем-то,,T,0
2022-08-08,come by,добыть что-то,,T,0
2022-08-08,come down with,заболеть,,T,0
2022-08-08,come out with,высказаться,,T,0
2022-08-08,count on,полагаться на,,T,0
2022-08-08,cut down on,сократить,,T,0
2022-08-08,disagree with,плохо ложиться на желудок,,T,0
2022-08-08,do away with,покончить с,2022-08-12,T,0
2022-08-08,do without,обходиться без,,T,0
2022-08-08,drop in on,прийти навестить,,T,0
2022-08-08,drop out of,выбывать из,,T,0
2022-08-08,face up to,мужественно принимать (неприятности),,T,0
2022-08-08,fall back on,прибегать к,,T,0
2022-08-08,fall behind,отставать от,,T,0
2022-08-08,fall for,влюбиться в,,T,0
2022-08-08,fall out with,поссориться с,,T,0
2022-08-08,fill in for,подменять,,T,0
2022-08-08,get ahead of,опережать,,T,0
2022-08-08,get along with,ладить с,,T,0
2022-08-08,get around,обходить,2022-08-12,T,0
2022-08-08,get away with,избежать наказания за,,T,0
2022-08-08,get by with,довольствоваться,,T,0
2022-08-08,get down to,приступать к,,T,0
2022-08-08,get off with,отделаться,,T,0
2022-08-08,get on with,вернуться к,,T,0
2022-08-08,get through,пережить,,T,0
2022-08-08,get through with,разделаться с,2022-08-12,T,0
2022-08-08,go back on,не выполнить,,T,0
2022-08-08,go for,делать выбор в пользу,,T,0
2022-08-08,go in for,заниматься,,T,0
2022-08-08,go on with,продолжить,,T,0
2022-08-08,go out with,встречаться с,,T,0
2022-08-08,go over,внимательно изучить,,T,0
2022-08-08,go through with,довести до конца,,T,0
2022-08-08,grow on,все больше нравиться,,T,0
2022-08-08,hang around,слоняться,,T,0
2022-08-08,hang around with,проводить время с,,T,0
2022-08-08,hear from,получить известие от,,T,0
2022-08-08,hear of,иметь сведения о,,T,0
2022-08-08,hit back at,отразить,,T,0
2022-08-08,hit on,приударить за,,T,0
2022-08-08,hold on to,держаться за,,T,0
2022-08-08,hold out against,противостоять,2022-08-12,T,0
2022-08-08,hold out for,стремиться к,,T,0
2022-08-08,hold out on,утаивать от,,T,0
2022-08-08,keep away from,держаться подальше от,,T,0
2022-08-08,keep to,придерживаться,,T,0
2022-08-08,keep up with,не отставать от,,T,0
2022-08-08,live on,жить на,,T,0
2022-08-08,live up to,соответствовать,,T,0
2022-08-08,look after,присматривать за,,T,0
2022-08-08,look at,изучать,,T,0
2022-08-08,look back on,мысленно вернуться в,,T,0
2022-08-08,look down on,смотреть свысока на,,T,0
2022-08-08,look into,изучать,,T,0
2022-08-08,look up to,уважать и восхищаться,,T,0
2022-08-08,make up for,компенсировать,,T,0
2022-08-08,open into,вести в,,T,0
2022-08-08,open up to,открыться,2022-08-12,T,0
2022-08-08,pick on,критиковать,,T,0
2022-08-08,play up to,заискивать перед,,T,0
2022-08-08,put up with,терпеть,,T,0
2022-08-08,read up on,углубить свои знания о,,T,0
2022-08-08,run against,конкурировать на выборах с,,T,0
2022-08-08,run for,выставлять свою кандидатуру на,,T,0
2022-08-08,run into,столкнуться с,,T,0
2022-08-08,run out of,израсходовать,,T,0
2022-08-08,run up against,"столкнуться с (проблемой, трудностями)",,T,0
2022-08-08,see about,проследить за,,T,0
2022-08-08,see to,позаботиться о,,T,0
2022-08-08,stand by,не отступать от,,T,0
2022-08-08,stand up for,защищать,,T,0
2022-08-08,stick to,придерживаться,,T,0
2022-08-08,stick up for,выступать в защиту,,T,0
2022-08-08,subscribe to,поддерживать,,T,0
2022-08-08,take after,быть похожим на,,T,0
2022-08-08,take up,заняться,,T,0
2022-08-08,talk back to,пререкаться с,,T,0
2022-08-08,tell on,доносить на,,T,0
2022-08-08,touch on,затрагивать,,T,0
2022-08-08,wait on,обслуживать,,T,0
2022-08-08,wait up for,не ложиться спать в ожидании,,T,0
2022-08-08,watch for,высматривать,,T,0
2022-08-08,watch out for,остерегаться,,T,0
2022-08-08,watch over,присматривать за,,T,0
