Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,fishing,ловля рыбы,,T,
2022-08-08,fit,подходить,,T,
2022-08-08,fix,чинить,,T,
2022-08-08,flying,летающий,2022-08-08,L,1
2022-08-08,focus,фокусироваться,,T,
2022-08-08,foreign,иностранные,,T,
2022-08-08,fork,вилка,,T,
2022-08-08,formal,формальный,,T,
2022-08-08,fortunately,к счастью,,T,
2022-08-08,forward,вперед,,T,
2022-08-08,fresh,свежий,,T,
2022-08-08,fridge,холодильник,,T,
2022-08-08,frog,лягушка,,T,
2022-08-08,further,дальний,,T,
2022-08-08,gallery,галерея,,T,
2022-08-08,gap,разрыв,,T,
2022-08-08,gas,газ,,T,
2022-08-08,gate,ворота,,T,
2022-08-08,general,общий,,T,
2022-08-08,God,бог,,T,
2022-08-08,gold,золото,,T,
2022-08-08,golf,гольф,,T,
2022-08-08,government,правительство,,T,
2022-08-08,grass,трава,,T,
2022-08-08,greet,приветствовать,,T,
2022-08-08,ground,земля,,T,
2022-08-08,guest,гость,,T,
2022-08-08,guide,"руководство, гид",,T,
2022-08-08,gun,пистолет,,T,
2022-08-08,habit,привычка,,T,
2022-08-08,hall,зал,,T,
2022-08-08,happily,к счастью,,T,
2022-08-08,heat,жара,,T,
2022-08-08,height,рост,2022-08-12,L,1
2022-08-08,helpful,полезный,,T,
2022-08-08,hero,герой,2022-08-12,L,1
2022-08-08,hide,скрывать,,T,
2022-08-08,hit,ударить,,T,
2022-08-08,hockey,хоккей,,T,
2022-08-08,hole,отверстие,,T,
2022-08-08,human,человек,,T,
2022-08-08,identify,идентифицировать,,T,
2022-08-08,ill,больной,,T,
2022-08-08,illness,болезнь,,T,
2022-08-08,image,изображение,,T,
2022-08-08,immediately,сразу,,T,
2022-08-08,impossible,невозможно,,T,
2022-08-08,included,включённый,,T,
2022-08-08,increase,возрастать,,T,
2022-08-08,incredible,неимоверный,,T,
2022-08-08,individual,индивидуальный,,T,
2022-08-08,industry,промышленность,,T,
2022-08-08,informal,неофициальный,,T,
2022-08-08,injury,травма,,T,
2022-08-08,insect,насекомое,,T,
2022-08-08,instead,вместо,,T,
2022-08-08,instruction,инструкция,,T,
2022-08-08,instructor,инструктор,,T,
2022-08-08,instrument,инструмент,2022-08-12,L,1
2022-08-08,international,международный,,T,
2022-08-08,introduction,вступление,,T,
2022-08-08,invent,"изобретать, придумывать",,T,
2022-08-08,invitation,приглашение,,T,
2022-08-08,invite,приглашать,,T,
2022-08-08,involve,включать,,T,
2022-08-08,item,"пункт, позиция",,T,
2022-08-08,jam,варенье,,T,
2022-08-08,jazz,джаз,,T,
2022-08-08,jewellery,ювелирные изделия,2022-08-12,L,1
2022-08-08,joke,шутка,,T,
2022-08-08,journalist,журналист,,T,
2022-08-08,kid,ребёнок,,T,
2022-08-08,kill,убить,,T,
2022-08-08,knife,нож,,T,
2022-08-08,lab,лаборатория,,T,
2022-08-08,lady,леди,,T,
2022-08-08,lamp,лампа,,T,
2022-08-08,laptop,портативный компьютер,,T,
2022-08-08,last,"последний, длиться",2022-08-08,L,1
2022-08-08,later,потом,,T,
2022-08-08,laughter,смех,,T,
2022-08-08,law,закон,,T,
