Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,abase,унижать,,T,
2022-08-08,abate,"уменьшиться, ослабеть",,T,
2022-08-08,abdicate,отречься,,T,
2022-08-08,aberrant,"ненормальный, отклоняющийся от нормы",,T,
2022-08-08,aberration,"отклонение, заблуждение",,T,
2022-08-08,abeyance,приостановление,,T,
2022-08-08,abhor,питать отвращение,,T,
2022-08-08,abjure,отрекаться,,T,
2022-08-08,abreast,в ряд,,T,
2022-08-08,abridge,сократить,,T,
2022-08-08,abscission,"опадение, отрезание",,T,
2022-08-08,abscond,скрываться,,T,
2022-08-08,abstruse,трудный для понимания,,T,
2022-08-08,abyss,бездна,,T,
2022-08-08,accede,"соглашаться, всходить на престол",,T,
2022-08-08,accolade,похвала,,T,
2022-08-08,accretion,прирост,,T,
2022-08-08,acerbic,резкий,,T,
2022-08-08,acidulous,кисловатый,,T,
2022-08-08,acme,вершина,,T,
2022-08-08,acrimony,язвительный,,T,
2022-08-08,acumen,проницательность,,T,
2022-08-08,adamant,непреклонный,,T,
2022-08-08,admonish,наставлять,,T,
2022-08-08,admonitory,предостерегающий,,T,
2022-08-08,adulterate,разбавлять,,T,
2022-08-08,adumbrate,описать в общих чертах,,T,
2022-08-08,aerie,орлиное гнездо,,T,
2022-08-08,aesthetic,эстетика,,T,
2022-08-08,affectation,притворство,,T,
2022-08-08,alacrity,рвение,,T,
2022-08-08,albeit,хотя,,T,
2022-08-08,aloof,отчужденный,,T,
2022-08-08,amalgam,смесь,,T,
2022-08-08,amalgamate,сливаться,,T,
2022-08-08,ambiguous,двусмысленный,,T,
2022-08-08,ambivalent,противоречивый,,T,
2022-08-08,ameliorate,улучшать,,T,
2022-08-08,amenable,поддатливый,,T,
2022-08-08,amenable,податливый,,T,
2022-08-08,amorphous,бесформенный,,T,
2022-08-08,amortize,постепенно погашать,,T,
2022-08-08,anachronism,"анахронизм, пережиток",,T,
2022-08-08,analgesia,обезболивание,,T,
2022-08-08,anguish,страдание,,T,
2022-08-08,annul,"отменять, уничтожать",,T,
2022-08-08,anodyne,болеутоляющее средство,,T,
2022-08-08,anoint,помазывать,,T,
2022-08-08,antagonize,вызывать отчуждение,,T,
2022-08-08,antedate,"предшествовать, помечать задним числом",,T,
2022-08-08,antithetical,прямо противоположный,,T,
2022-08-08,antithetical,прямо противоположенный,,T,
2022-08-08,apocryphal,недостоверный,,T,
2022-08-08,apostate,отступник,,T,
2022-08-08,apostle,поборник,,T,
2022-08-08,appease,ублажать,,T,
2022-08-08,apposite,подходящий,,T,
2022-08-08,appreciable,заметный,,T,
2022-08-08,apprise,известить,,T,
2022-08-08,approbation,одобрение,,T,
2022-08-08,appropriate,"присваивать, ассигновать",,T,
2022-08-08,arbitrary,произвольный,,T,
2022-08-08,arbitrate,решать третейским судьей,,T,
2022-08-08,arcane,тайный,,T,
2022-08-08,arcane,тайные,,T,
2022-08-08,ardent,пылкий,,T,
2022-08-08,arduous,трудный,,T,
2022-08-08,arrogate,присваивать,,T,
2022-08-08,artful,"искусный, хитрый",,T,
2022-08-08,artifact,артефакт,,T,
2022-08-08,artless,простодушный,,T,
2022-08-08,ascertain,"установить, выяснить",,T,
2022-08-08,ascetic,аскетичный,,T,
2022-08-08,ascribe,приписывать,,T,
2022-08-08,aseptic,стерильный,,T,
2022-08-08,askance,искоса,,T,
2022-08-08,askance,косо,,T,
2022-08-08,asperity,"неровность, резкость, суровость",,T,
2022-08-08,aspersions,клевета,,T,
2022-08-08,assail,нападать,,T,
2022-08-08,assiduous,"прилежный, усердный",,T,
2022-08-08,assuage,"смягчить, утолить, успокоить",,T,
2022-08-08,attenuate,ослаблять,,T,
2022-08-08,attuned,настроенный,,T,
2022-08-08,audacious,отважный,,T,
2022-08-08,audacity,"смелость, дерзость",,T,
2022-08-08,augury,предсказание,,T,
2022-08-08,August,величественный,,T,
2022-08-08,austere,"простой, строгий, аскетичный",,T,
2022-08-08,avarice,жадность,,T,
2022-08-08,avaricious,"скупой, жадный",,T,
2022-08-08,aver,утверждать,,T,
2022-08-08,axiomatic,не требующий доказательств,,T,
2022-08-08,balk,"отказываться, артачиться",,T,
2022-08-08,balloon,раздуваться,,T,
2022-08-08,baneful,пагубный,,T,
2022-08-08,base,низменный,,T,
2022-08-08,baying,лай,,T,
2022-08-08,belie,"противоречить, опровергать",,T,
2022-08-08,belligerent,воинственный,,T,
2022-08-08,beneficent,благодетельный,,T,
2022-08-08,bent,склонность,,T,
2022-08-08,besiege,осаждать,,T,
2022-08-08,betray,предавать,,T,
2022-08-08,betray,выдавать,,T,
2022-08-08,bevy,группа,,T,
2022-08-08,bifurcate,раздваивать,,T,
2022-08-08,bilk,"обманывать, надуть",,T,
2022-08-08,blatant,"откровенный, вульгарный",,T,
2022-08-08,blight,"поражать, разрушать",,T,
2022-08-08,blithe,беспечный,,T,
2022-08-08,bogus,"фиктивный, поддельный",,T,
2022-08-08,bolster,поддерживать,,T,
2022-08-08,bombastic,напыщенный,,T,
2022-08-08,bonhomie,дружелюбие,,T,
2022-08-08,boor,хам,,T,
2022-08-08,brandish,размахивать,,T,
2022-08-08,brazen,наглый,,T,
2022-08-08,brook,терпеть,,T,
2022-08-08,bucolic,сельский,,T,
2022-08-08,bumbling,неуклюжий,,T,
2022-08-08,burgeon,процветать,,T,
2022-08-08,burnish,полировать,,T,
2022-08-08,buttress,"подпирать, служить опорой",,T,
2022-08-08,bygone,"прошлые, пережитые",,T,
2022-08-08,cacophony,какофония,,T,
2022-08-08,calumny,клевета,,T,
2022-08-08,canard,"ложный слух, газетная утка",,T,
2022-08-08,candid,"искренний, откровенный",,T,
2022-08-08,canonical,канонический,,T,
2022-08-08,capricious,прихотливый,,T,
2022-08-08,cardinal,кардинальный,,T,
2022-08-08,castigate,бичевать,,T,
2022-08-08,Catholic,всеобъемлющий,,T,
2022-08-08,caustic,"едкий, колкий, язвительный",,T,
2022-08-08,censure,порицать,,T,
2022-08-08,chastise,"наказать, отчитать",,T,
2022-08-08,chauvinism,шовинизм,,T,
2022-08-08,chicanery,махинации,,T,
2022-08-08,chortle,хихикать,,T,
2022-08-08,circumscribe,ограничивать,,T,
2022-08-08,circumspect,осмотрительный,,T,
2022-08-08,circumvent,обойти,,T,
2022-08-08,clamber,карабкаться,,T,
2022-08-08,clamor,"ропот, шумные протесты",,T,
2022-08-08,clinch,"окончательно решать, обниматься",,T,
2022-08-08,cloying,приторный,,T,
2022-08-08,coagulate,сгущать,,T,
2022-08-08,coalesce,объединяться,,T,
2022-08-08,coda,завершение,,T,
2022-08-08,coffer,сундук,,T,
2022-08-08,cogent,убедительный,,T,
2022-08-08,collude,сговариваться,,T,
2022-08-08,commensurate,соизмеримый,,T,
2022-08-08,compendium,сборник,,T,
2022-08-08,complacent,самодовольный,,T,
2022-08-08,complaisant,услужливый,,T,
2022-08-08,concede,"признавать, уступать",,T,
2022-08-08,concur,соглашаться,,T,
2022-08-08,condone,смотреть сквозь пальцы,,T,
2022-08-08,confer,"присваивать, совещаться",,T,
2022-08-08,confound,"смущать, ставить в тупик",,T,
2022-08-08,connote,иметь второстепенное значение,,T,
2022-08-08,console,утешать,,T,
2022-08-08,conspicuous,бросающийся в глаза,,T,
2022-08-08,constituent,"избиратель, составная часть",,T,
2022-08-08,constrict,"стягивать, сужать",,T,
2022-08-08,construe,истолковывать,,T,
2022-08-08,contentious,"вздорный, задиристый",,T,
2022-08-08,contingent,зависящий от обстоятельств,,T,
2022-08-08,contraries,противоположности,,T,
2022-08-08,contrite,раскаивающийся,,T,
2022-08-08,contrition,раскаяние,,T,
2022-08-08,contrive,изловчиться,,T,
2022-08-08,contumacious,непокорный,,T,
2022-08-08,conundrum,головоломка,,T,
2022-08-08,converge,сходиться,,T,
2022-08-08,conversant,осведомленный,,T,
2022-08-08,conversely,наоборот,,T,
2022-08-08,convoke,созывать,,T,
2022-08-08,convoluted,запутанный,,T,
2022-08-08,copious,обильный,,T,
2022-08-08,corroborate,подтвердить,,T,
2022-08-08,cosmopolitan,космополитический,,T,
2022-08-08,cosset,нежить,,T,
2022-08-08,coterie,избранный круг,,T,
2022-08-08,countenance,"выражение лица, поддерживать",,T,
2022-08-08,counterpoint,контрапункт,,T,
2022-08-08,covert,завуалированный,,T,
2022-08-08,crafty,хитрый,,T,
2022-08-08,craven,"трусливый, малодушный",,T,
2022-08-08,credulous,доверчивый,,T,
2022-08-08,crescendo,крещендо,,T,
2022-08-08,cryptic,загадочный,,T,
2022-08-08,cupidity,алчность,,T,
2022-08-08,curmudgeon,скряга,,T,
2022-08-08,daunt,обескураживать,,T,
2022-08-08,debase,"унизить, снизить",,T,
2022-08-08,debunk,развенчивать,,T,
2022-08-08,declaim,разглагольствовать,,T,
2022-08-08,declivity,склон,,T,
2022-08-08,decorous,соблюдающий приличия,,T,
2022-08-08,decorum,нормы приличия,,T,
2022-08-08,deem,счесть,,T,
2022-08-08,deface,обезобразить,,T,
2022-08-08,defamatory,"клеветнический, дискредитирующий",,T,
2022-08-08,default,не выполнять обязательства,,T,
2022-08-08,deference,почтительность,,T,
2022-08-08,deferential,почтительный,,T,
2022-08-08,deflect,отклонять,,T,
2022-08-08,deleterious,вредный,,T,
2022-08-08,delimit,определять границы,,T,
2022-08-08,delineate,очертить,,T,
2022-08-08,demagogue,демагог,,T,
2022-08-08,demur,возражать,,T,
2022-08-08,denigrate,очернить,,T,
2022-08-08,denote,обозначать,,T,
2022-08-08,deride,высмеивать,,T,
2022-08-08,derivative,производный,,T,
2022-08-08,desiccate,высушивать,,T,
2022-08-08,desultory,несвязный,,T,
2022-08-08,detached,"беспристрастный, равнодушный",,T,
2022-08-08,deterrent,сдерживающее средство,,T,
2022-08-08,diaphanous,просвечивающий,,T,
2022-08-08,diatribe,обличительная речь,,T,
2022-08-08,dichotomy,разделение,,T,
2022-08-08,dictum,изречение,,T,
2022-08-08,didactic,поучительный,,T,
2022-08-08,diffident,робкий,,T,
2022-08-08,diffuse,"рассеивать, разбросанный",,T,
2022-08-08,digress,делать отступление,,T,
2022-08-08,dilate,"расширять, распространяться",,T,
2022-08-08,dilatory,медлительный,,T,
2022-08-08,dilettante,любитель,,T,
